disease,entrez_id
"limb deformities, congenital",79659
"limb deformities, congenital",207
"limb deformities, congenital",7291
"limb deformities, congenital",4750
"limb deformities, congenital",3239
"limb deformities, congenital",5728
"limb deformities, congenital",8200
"limb deformities, congenital",5307
"limb deformities, congenital",64327
"limb deformities, congenital",4920
"limb deformities, congenital",2697
"limb deformities, congenital",2263
"limb deformities, congenital",2260
"limb deformities, congenital",2261
"limb deformities, congenital",157570
"limb deformities, congenital",7476
"limb deformities, congenital",1280
urogenital abnormalities,988
urogenital abnormalities,122042
urogenital abnormalities,4214
urogenital abnormalities,190
urogenital abnormalities,3295
urogenital abnormalities,3730
urogenital abnormalities,268
urogenital abnormalities,1589
urogenital abnormalities,6662
urogenital abnormalities,7490
urogenital abnormalities,1586
urogenital abnormalities,1584
urogenital abnormalities,50846
urogenital abnormalities,84733
urogenital abnormalities,367
urogenital abnormalities,2260
urogenital abnormalities,3293
urogenital abnormalities,284654
urogenital abnormalities,4920
urogenital abnormalities,60675
urogenital abnormalities,6736
urogenital abnormalities,4627
urogenital abnormalities,6716
urogenital abnormalities,269
urogenital abnormalities,3284
urogenital abnormalities,3640
urogenital abnormalities,1285
urogenital abnormalities,1287
urogenital abnormalities,1286
urogenital abnormalities,2492
urogenital abnormalities,6770
urogenital abnormalities,55636
urogenital abnormalities,128674
urogenital abnormalities,2516
urogenital abnormalities,2253
urogenital abnormalities,139189
"cardiomyopathy, hypertrophic",4633
"cardiomyopathy, hypertrophic",7139
"cardiomyopathy, hypertrophic",4634
"cardiomyopathy, hypertrophic",51778
"cardiomyopathy, hypertrophic",7137
"cardiomyopathy, hypertrophic",5350
"cardiomyopathy, hypertrophic",859
"cardiomyopathy, hypertrophic",7134
"cardiomyopathy, hypertrophic",7414
"cardiomyopathy, hypertrophic",85366
"cardiomyopathy, hypertrophic",8048
"cardiomyopathy, hypertrophic",4624
"cardiomyopathy, hypertrophic",4625
"cardiomyopathy, hypertrophic",70
"cardiomyopathy, hypertrophic",4607
"cardiomyopathy, hypertrophic",7273
"cardiomyopathy, hypertrophic",7168
"cardiomyopathy, hypertrophic",125972
"cardiomyopathy, hypertrophic",4646
"cardiomyopathy, hypertrophic",51422
"cardiomyopathy, hypertrophic",57158
"cardiomyopathy, hypertrophic",91624
"cardiomyopathy, hypertrophic",8557
urologic neoplasms,595
urologic neoplasms,23466
urologic neoplasms,8626
urologic neoplasms,7030
urologic neoplasms,23362
urologic neoplasms,84925
urologic neoplasms,83636
urologic neoplasms,5925
urologic neoplasms,8000
urologic neoplasms,7490
urologic neoplasms,5546
urologic neoplasms,898
urologic neoplasms,2034
urologic neoplasms,116093
urologic neoplasms,4968
urologic neoplasms,11281
urologic neoplasms,200315
urologic neoplasms,2261
urologic neoplasms,4841
urologic neoplasms,79663
urologic neoplasms,27241
urologic neoplasms,57531
urologic neoplasms,55193
urologic neoplasms,55214
urologic neoplasms,3709
urologic neoplasms,3265
urologic neoplasms,10460
urologic neoplasms,4609
urologic neoplasms,390218
urologic neoplasms,4233
urologic neoplasms,11236
urologic neoplasms,10
urologic neoplasms,2271
urologic neoplasms,6421
urologic neoplasms,8082
urologic neoplasms,949
urologic neoplasms,6563
urologic neoplasms,201163
urologic neoplasms,5462
urologic neoplasms,79058
urologic neoplasms,7428
macular degeneration,360023
macular degeneration,387715
macular degeneration,7936
macular degeneration,629
macular degeneration,6499
macular degeneration,221527
macular degeneration,59338
macular degeneration,343450
macular degeneration,441726
macular degeneration,83872
macular degeneration,84839
macular degeneration,10554
macular degeneration,1071
macular degeneration,10516
macular degeneration,728402
